pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0.831128,0,0.966184,0.431794,0.275856
0,0.831128,1,0.363834,0.431866,0.263345
0,0.831128,2,0.967293,0.421181,0.26533
0,0.831128,3,0.019912,0.416161,0.266673
0,0.831128,4,0.961708,0.388358,0.263545
0,0.831128,5,0.988445,0.436484,0.342383
0,0.831128,6,0.992463,0.351701,0.360689
0,0.831128,7,0.951273,0.471246,0.451905
0,0.831128,8,0.969332,0.342114,0.46711
0,0.831128,9,0.981744,0.469001,0.54494
0,0.831128,10,0.98734,0.324691,0.561609
0,0.831128,11,0.97039,0.43754,0.562139
0,0.831128,12,0.985716,0.38383,0.56438
0,0.831128,13,0.955677,0.427339,0.685151
0,0.831128,14,0.987009,0.398264,0.682325
0,0.831128,15,0.499869,0.409029,0.803422
0,0.831128,16,0.580983,0.397005,0.803251
1,0.741936,0,0.993927,0.533376,0.294638
1,0.741936,1,0.994793,0.543884,0.283937
1,0.741936,2,0.891218,0.531252,0.285714
1,0.741936,3,0.992021,0.571189,0.287821
1,0.741936,4,0.109733,0.534496,0.294732
1,0.741936,5,0.99355,0.601838,0.358921
1,0.741936,6,0.989579,0.532144,0.360693
1,0.741936,7,0.991475,0.621628,0.436004
1,0.741936,8,0.935595,0.504286,0.447572
1,0.741936,9,0.983789,0.651609,0.507484
1,0.741936,10,0.236165,0.504217,0.495783
1,0.741936,11,0.982877,0.587623,0.513842
1,0.741936,12,0.961901,0.54011,0.516329
1,0.741936,13,0.948192,0.581495,0.662129
1,0.741936,14,0.512917,0.557069,0.663417
1,0.741936,15,0.0837743,0.589397,0.774671
1,0.741936,16,0.0114081,0.586415,0.772919
