pose_id,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0,0.996869,544.457642,201.589813
0,1,0.757327,544.045593,191.130325
0,2,0.996816,531.137268,190.117645
0,3,0.003175,546.648987,195.829971
0,4,0.996204,496.238739,194.487747
0,5,0.991189,568.827393,245.672592
0,6,0.985133,450.892578,266.406891
0,7,0.970442,592.359253,321.816559
0,8,0.971571,432.427246,339.712769
0,9,0.944443,599.741333,393.499329
0,10,0.615364,418.472839,407.594177
0,11,0.850589,556.757507,394.736908
0,12,0.906130,489.625732,403.356018
0,13,0.884831,556.533691,493.204865
0,14,0.966794,507.036346,487.373199
0,15,0.605351,539.101868,565.254211
0,16,0.826153,510.694641,575.523499
1,0,0.993177,689.701721,212.267288
1,1,0.994716,699.123779,199.658356
1,2,0.860668,685.819397,204.261200
1,3,0.985161,730.069946,205.096649
1,4,0.019598,683.951355,216.965698
1,5,0.902300,775.136597,259.246674
1,6,0.959680,675.532227,268.003723
1,7,0.933752,803.042603,315.725159
1,8,0.890713,657.165588,336.053131
1,9,0.893862,833.333252,370.577759
1,10,0.124607,597.890198,393.445160
1,11,0.630771,775.873047,387.071045
1,12,0.614414,702.117676,385.960785
1,13,0.480857,754.119019,468.420044
1,14,0.628417,745.491211,470.364136
1,15,0.665946,752.022461,568.390381
1,16,0.590423,748.904114,573.021301
