pose_id,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0,0.991590,271.607849,132.627457
0,1,0.841151,273.870941,126.488266
0,2,0.993017,264.640961,126.816139
0,3,0.030223,275.402008,129.420578
0,4,0.992937,245.024872,129.134201
0,5,0.994412,281.359650,164.348862
0,6,0.996650,225.920227,177.486267
0,7,0.969476,294.507263,215.564148
0,8,0.986583,217.573608,226.204926
0,9,0.980225,298.704376,259.933258
0,10,0.985777,209.073166,273.485596
0,11,0.979621,281.074493,266.455841
0,12,0.988877,246.319672,268.740021
0,13,0.977468,278.584076,326.249908
0,14,0.984595,253.341583,328.496735
0,15,0.701143,267.611542,381.509247
0,16,0.825338,255.627899,384.000000
1,0,0.996160,342.783600,143.348907
1,1,0.996508,350.415039,137.093704
1,2,0.826963,341.527954,137.149170
1,3,0.995669,368.376251,139.947922
1,4,0.007888,339.829803,141.865753
1,5,0.996428,385.993927,171.541168
1,6,0.995714,339.563507,173.516190
1,7,0.991843,400.833771,211.356857
1,8,0.880253,329.414856,215.777039
1,9,0.950997,415.650269,247.672836
1,10,0.174029,317.176483,257.176483
1,11,0.992811,380.730652,254.255386
1,12,0.992983,352.032196,257.167877
1,13,0.857357,373.848877,314.791229
1,14,0.749678,367.021881,315.457306
1,15,0.049797,376.183350,369.832214
1,16,0.048838,376.848328,369.889404
