pose_id,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,0,0.985586,203.486404,97.182571
0,1,0.802764,204.546524,92.929955
0,2,0.981195,198.480164,93.083717
0,3,0.034038,205.393814,96.127632
0,4,0.987525,185.271103,95.288857
0,5,0.995739,210.919128,122.386215
0,6,0.996907,169.019608,127.215683
0,7,0.982768,220.960602,160.950623
0,8,0.994863,165.122879,166.333694
0,9,0.987405,222.692429,192.495667
0,10,0.993008,159.265289,202.300781
0,11,0.996679,205.769775,195.072998
0,12,0.993825,184.180313,196.988785
0,13,0.987496,206.136459,241.089401
0,14,0.982070,189.459564,241.463257
0,15,0.688689,197.799347,281.003693
0,16,0.784217,192.326797,282.014069
1,0,0.986246,257.687866,105.372917
1,1,0.991074,263.212891,101.245567
1,2,0.640006,256.461182,100.419876
1,3,0.988733,277.156403,104.337341
1,4,0.031025,256.040833,104.419876
1,5,0.997292,289.568634,126.823532
1,6,0.993562,256.635559,127.665100
1,7,0.988986,300.624634,153.686615
1,8,0.966045,245.727814,161.032959
1,9,0.983424,308.917786,181.147873
1,10,0.494743,233.107620,191.643326
1,11,0.996627,285.412537,188.447388
1,12,0.993587,259.871338,188.708603
1,13,0.987511,282.138672,232.610794
1,14,0.927613,274.578949,233.638397
1,15,0.728463,282.602112,275.253479
1,16,0.632652,284.408081,274.891602
