pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,1,0,0.498168,0.589104,0.332112
0,1,1,0.44677,0.597011,0.320251
0,1,2,0.55352,0.561428,0.312343
0,1,3,0.343973,0.577242,0.320251
0,1,4,0.604918,0.502122,0.320251
0,1,5,0.55352,0.55352,0.427001
0,1,6,0.846095,0.430955,0.399325
0,1,7,0.786789,0.703761,0.494214
0,1,8,0.498168,0.517937,0.506076
0,1,9,0.296529,0.672132,0.423047
0,1,10,0.343973,0.656317,0.403279
0,1,11,0.656317,0.423047,0.604918
0,1,12,0.604918,0.292575,0.608872
0,1,13,0.747252,0.577242,0.644456
0,1,14,0.604918,0.411186,0.672132
0,1,15,0.656317,0.525844,0.826326
0,1,16,0.703761,0.328158,0.901447
