pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,1,0,0.498168,0.581196,0.332112
0,1,1,0.703761,0.593057,0.320251
0,1,2,0.656317,0.569335,0.316297
0,1,3,0.154195,0.58515,0.324205
0,1,4,0.55352,0.490261,0.316297
0,1,5,0.44677,0.549566,0.427001
0,1,6,0.44677,0.450723,0.399325
0,1,7,0.703761,0.695854,0.494214
0,1,8,0.498168,0.517937,0.498168
0,1,9,0.44677,0.672132,0.430955
0,1,10,0.498168,0.636548,0.419094
0,1,11,0.656317,0.419094,0.61678
0,1,12,0.498168,0.280714,0.612826
0,1,13,0.44677,0.581196,0.640502
0,1,14,0.604918,0.407233,0.672132
0,1,15,0.44677,0.52189,0.83028
0,1,16,0.656317,0.324205,0.897493
