pose_id,pose_score,keypoint_id,keypoint_score,keypoint_x,keypoint_y
0,1,0,0.722328,0.584178,0.343402
0,1,1,0.765747,0.592072,0.315772
0,1,2,0.501288,0.560495,0.315772
0,1,3,0.327613,0.560495,0.327613
0,1,4,0.765747,0.497341,0.327613
0,1,5,0.765747,0.572337,0.414451
0,1,6,0.805219,0.430239,0.406556
0,1,7,0.935475,0.702593,0.501288
0,1,8,0.87232,0.536812,0.513129
0,1,9,0.615755,0.690751,0.418398
0,1,10,0.560495,0.65128,0.406556
0,1,11,0.765747,0.402609,0.611808
0,1,12,0.840743,0.2763,0.611808
0,1,13,0.805219,0.59602,0.647333
0,1,14,0.805219,0.426292,0.671016
0,1,15,0.840743,0.521024,0.828902
0,1,16,0.765747,0.319719,0.896003
